"Pipeline","TestSet","SampleName","AnalyticTruthLabel","PerformanceTotalCount","TotalCountsOverall","PerformancePercent"
"MMARC-assembled","Soil","SRR1238176","Aminoglycosides",438682.200002132,743628.000002125,58.9921573691251
"Resfams","Soil","SRR1238176","Aminoglycosides",10283,111456,9.22606230261268
"MMARC","Soil","SRR1238177","beta-lactams",0,119,0
"MMARC-assembled","Soil","SRR1238177","beta-lactams",1380467.03917226,1448047.99998776,95.3329612819416
"Resfams","Soil","SRR1238177","beta-lactams",212318.000000741,228242.000000741,93.0231946793541
"MMARC","Soil","SRR1238178","beta-lactams",0,142,0
"MMARC-assembled","Soil","SRR1238178","beta-lactams",462198.312710286,474702.000011873,97.3659922854181
"Resfams","Soil","SRR1238178","beta-lactams",103262.999999904,106007.999999904,97.4105727869571
"MMARC","Soil","SRR1238179","beta-lactams",0,30,0
"MMARC-assembled","Soil","SRR1238179","beta-lactams",1219142.99998516,1245749.99998517,97.8641782058738
"Resfams","Soil","SRR1238179","beta-lactams",186598,186599,99.9994640914474
"MMARC","Soil","SRR1238180","Tetracyclines",2465.5,77223.9999999999,3.19266031285611
"MMARC-assembled","Soil","SRR1238180","Tetracyclines",247735.952397937,561875.00000057,44.0909370229473
"Resfams","Soil","SRR1238180","Tetracyclines",28179.8966310777,361366.000001675,7.79815938160954
"MMARC","Soil","SRR1238181","Tetracyclines",962.666666666667,156662,0.614486388956267
"MMARC-assembled","Soil","SRR1238181","Tetracyclines",2340.24166666665,542570.000001118,0.431325297502964
"Resfams","Soil","SRR1238181","Tetracyclines",587.952380952386,253327.000000095,0.23209226847204
"MMARC","Soil","SRR1238182","Trimethoprim",49348.0000000006,49348.0000000006,100
"MMARC-assembled","Soil","SRR1238182","Trimethoprim",519806.727381686,589634.000000734,88.1575226973071
"Resfams","Soil","SRR1238182","Trimethoprim",85547,91079,93.9261520218711
"MMARC","Soil","SRR1238183","Trimethoprim",16048,16104,99.652260307998
"MMARC-assembled","Soil","SRR1238183","Trimethoprim",152798.083333234,160528.9999999,95.1840996538498
"Resfams","Soil","SRR1238183","Trimethoprim",10797,10981,98.324378471906
"MMARC","Soil","SRR1238184","beta-lactams",0,78,0
"MMARC-assembled","Soil","SRR1238184","beta-lactams",87358.9141338401,92719.9999998532,94.2179833196489
"Resfams","Soil","SRR1238184","beta-lactams",9352.66666666669,16989.9999999998,55.0480674906816
"MMARC","Soil","SRR1238185","Phenicol",0,8187,0
"MMARC-assembled","Soil","SRR1238185","Phenicol",44523.5749999973,637144.999999909,6.98798154266355
"Resfams","Soil","SRR1238185","Phenicol",9784.07366522368,173522.999999978,5.63848807663821
"MMARC-assembled","Soil","SRR1238186","beta-lactams",0,43274.9999999981,0
"Resfams","Soil","SRR1238186","beta-lactams",0,785136,0
"MMARC-assembled","Soil","SRR1238187","beta-lactams",3262006.99952816,3465094.99952744,94.1390351483301
"Resfams","Soil","SRR1238187","beta-lactams",312354.999999955,312371.999999955,99.9945577708629
"MMARC","Soil","SRR1238188","Glycopeptides",0,30,0
"MMARC-assembled","Soil","SRR1238188","Glycopeptides",84202.2301586781,124392.999999946,67.6904891422462
"Resfams","Soil","SRR1238188","Glycopeptides",40044.2499999844,54937.9999999856,72.8898940623883
"MMARC","Soil","SRR1238189","beta-lactams",0,28,0
"MMARC-assembled","Soil","SRR1238189","beta-lactams",944347.574749078,977164.999993278,96.641567673379
"Resfams","Soil","SRR1238189","beta-lactams",76541.9999999696,153746.999999954,49.7843860367959
"MMARC","Soil","SRR1238190","Aminoglycosides",73091,73091,100
"MMARC-assembled","Soil","SRR1238190","Aminoglycosides",485700.999999967,485700.999999967,100
"Resfams","Soil","SRR1238190","Aminoglycosides",106252.999999977,106252.999999977,100
"MMARC","Soil","SRR1238191","beta-lactams",855761.983333782,858234.000000448,99.7119647244615
"MMARC-assembled","Soil","SRR1238191","beta-lactams",2307547.68889168,2622433.99984298,87.9925934849018
"Resfams","Soil","SRR1238191","beta-lactams",138184.999999879,298266.99999986,46.3292955640228
"MMARC","Soil","SRR1238192","beta-lactams",341607.384198958,344630.999999824,99.1226512412211
"MMARC-assembled","Soil","SRR1238192","beta-lactams",780657.165423291,887056.000000651,88.0053982412292
"Resfams","Soil","SRR1238192","beta-lactams",90446.6666666228,106635.999999956,84.8181352138681
"MMARC","Soil","SRR1238193","Tetracyclines",210,289,72.6643598615917
"MMARC-assembled","Soil","SRR1238193","Tetracyclines",631268.730005394,672714.000002031,93.8390950691509
"Resfams","Soil","SRR1238193","Tetracyclines",55061.6596014438,178881.999999814,30.7809950702145
"MMARC","Soil","SRR1238194","Tetracyclines",79040.0000000015,79040.0000000015,100
"MMARC-assembled","Soil","SRR1238194","Tetracyclines",143790.333333164,348530.999999561,41.2561101690652
"Resfams","Soil","SRR1238194","Tetracyclines",788.60714285714,70956.0000000328,1.11140304252886
"MMARC","Soil","SRR1238195","Trimethoprim",76642.0000000001,76687.0000000001,99.9413199108063
"MMARC-assembled","Soil","SRR1238195","Trimethoprim",557144.761905981,659615.000001223,84.4651443501055
"Resfams","Soil","SRR1238195","Trimethoprim",66784,130055.999999999,51.350187611491
"MMARC","Soil","SRR1238196","Trimethoprim",41839.2,53475,78.2406732117812
"MMARC-assembled","Soil","SRR1238196","Trimethoprim",304476.114286238,408848.000000539,74.4717142522006
"Resfams","Soil","SRR1238196","Trimethoprim",24378,37454.9999999996,65.0861033239895
"MMARC","Soil","SRR1238197","beta-lactams",0,351,0
"MMARC-assembled","Soil","SRR1238197","beta-lactams",1591033.19287249,1800361.99997354,88.3729601544509
"Resfams","Soil","SRR1238197","beta-lactams",126761.999999987,153779.999999987,82.4307452204439
"MMARC","Soil","SRR1238198","Phenicol",0,1417,0
"MMARC-assembled","Soil","SRR1238198","Phenicol",68688.5297618857,418316.999999897,16.4202099751869
"Resfams","Soil","SRR1238198","Phenicol",3938.03253968269,141923.999999931,2.77474742797879
"MMARC","Soil","SRR1238199","beta-lactams",100049,100049,100
"MMARC-assembled","Soil","SRR1238199","beta-lactams",465205.166683699,700405.000016938,66.4194525556569
"Resfams","Soil","SRR1238199","beta-lactams",15991.0000000108,15991.0000000108,100
"MMARC","Soil","SRR1238200","beta-lactams",189845,189875,99.9842001316656
"MMARC-assembled","Soil","SRR1238200","beta-lactams",1370430.4574611,1644321.99999505,83.343192967389
"Resfams","Soil","SRR1238200","beta-lactams",290566.000000834,459455.000000833,63.2414491082494
"MMARC-assembled","Soil","SRR1238201","Glycopeptides",467667.438496309,577217.000004217,81.0210784666586
"Resfams","Soil","SRR1238201","Glycopeptides",264379.99999946,271027.99999946,97.5471169030457
"MMARC","Soil","SRR1238202","beta-lactams",5973,5973,100
"MMARC-assembled","Soil","SRR1238202","beta-lactams",761254.677317916,833330.999993855,91.3508170611112
"Resfams","Soil","SRR1238202","beta-lactams",184533.66666792,186093.000001253,99.1620677116695
"MMARC","Soil","SRR1238203","Aminoglycosides",96760.2666666666,97137,99.6121628902135
"MMARC-assembled","Soil","SRR1238203","Aminoglycosides",415534.26666676,502880.000000097,82.6308993530625
"Resfams","Soil","SRR1238203","Aminoglycosides",132050.999999621,154965.999999621,85.2128854070854
"MMARC","Soil","SRR1238204","beta-lactams",1291030,1291030,100
"MMARC-assembled","Soil","SRR1238204","beta-lactams",2765317.81613916,2911661.99998587,94.9738608448571
"Resfams","Soil","SRR1238204","beta-lactams",204666.999998708,415332.999998393,49.2778084090356
"MMARC","Soil","SRR1238205","beta-lactams",20508630,20508630,100
"MMARC-assembled","Soil","SRR1238205","beta-lactams",45940212.6979908,46310229.9813237,99.2010031401654
"Resfams","Soil","SRR1238205","beta-lactams",2188766.99981714,2433894.99981714,89.9285712810776
"MMARC","Soil","SRR1238206","beta-lactams",8574402,8574402,100
"MMARC-assembled","Soil","SRR1238206","beta-lactams",19067571.0029606,19684014.0029607,96.8683064343107
"Resfams","Soil","SRR1238206","beta-lactams",2638480.00065631,2638480.00065631,100
"MMARC","Soil","SRR1238207","Tetracyclines",65625.1666666594,65737.9999999928,99.8283590414473
"MMARC-assembled","Soil","SRR1238207","Tetracyclines",575864.607160853,759042.000005352,75.8672915539315
"Resfams","Soil","SRR1238207","Tetracyclines",57335.0882535682,210865.000000089,27.1904243253001
"MMARC","Soil","SRR1238208","Tetracyclines",7861.99999999993,7943.99999999993,98.9677744209466
"MMARC-assembled","Soil","SRR1238208","Tetracyclines",107727.247222,248390.999999796,43.3700283915635
"Resfams","Soil","SRR1238208","Tetracyclines",2214.97913752846,89740.9999998656,2.46819083532808
"MMARC","Soil","SRR1238209","Trimethoprim",342009.00000002,342057.00000002,99.9859672510722
"MMARC-assembled","Soil","SRR1238209","Trimethoprim",2070539.29363618,2593898.99998534,79.8234354401571
"Resfams","Soil","SRR1238209","Trimethoprim",155185,253686.999999995,61.1718377370551
"MMARC","Soil","SRR1238210","Trimethoprim",29538,29825,99.0377200335289
"MMARC-assembled","Soil","SRR1238210","Trimethoprim",318488.721428918,336945.000000348,94.5224655147249
"Resfams","Soil","SRR1238210","Trimethoprim",21041,21311,98.7330486603163
"MMARC","Soil","SRR1238211","beta-lactams",6,2507,0.239329876346231
"MMARC-assembled","Soil","SRR1238211","beta-lactams",240465.612791897,373599.000001173,64.3646296674086
"Resfams","Soil","SRR1238211","beta-lactams",14806.0000000008,25739.0000000007,57.5236023155538
"MMARC","Soil","SRR1238212","Phenicol",0,4405.99999999999,0
"MMARC-assembled","Soil","SRR1238212","Phenicol",108570.883730155,366114.999999919,29.6548580992801
"Resfams","Soil","SRR1238212","Phenicol",435.626515151509,144089.999999951,0.302329457388894
"MMARC","Soil","SRR1238213","beta-lactams",765693.166666667,766235,99.9292862720532
"MMARC-assembled","Soil","SRR1238213","beta-lactams",2116835.75931557,2525337.99979182,83.8238588058341
"Resfams","Soil","SRR1238213","beta-lactams",313225.000003104,328777.000003104,95.2697421048756
"MMARC","Soil","SRR1238214","Glycopeptides",0,1256,0
"MMARC-assembled","Soil","SRR1238214","Glycopeptides",2170839.09759373,2799314.99997452,77.5489395660544
"Resfams","Soil","SRR1238214","Glycopeptides",1060124.83330319,1139417.99996985,93.0409062636578
"MMARC","Soil","SRR1238215","beta-lactams",329699.066666684,329921.000000018,99.9327313710454
"MMARC-assembled","Soil","SRR1238215","beta-lactams",2132478.86102687,2215284.99996529,96.2620548173385
"Resfams","Soil","SRR1238215","beta-lactams",595389.99999278,623222.99999278,95.5340223322435
"MMARC","Soil","SRR1238216","Aminoglycosides",0,1055,0
"MMARC-assembled","Soil","SRR1238216","Aminoglycosides",273686.5000001,334659.0000001,81.7807081237971
"Resfams","Soil","SRR1238216","Aminoglycosides",132615.249999514,137272.999999514,96.6069438272519
"MMARC","Soil","SRR1238217","beta-lactams",62819.1666667043,68739.0000000377,91.387955406203
"MMARC-assembled","Soil","SRR1238217","beta-lactams",821892.637571162,1305787.99998705,62.9422722202467
"Resfams","Soil","SRR1238217","beta-lactams",55891.3333333377,185038.000000001,30.2053271940561
"MMARC","Soil","SRR1238218","beta-lactams",1394.86904761905,18956,7.35845667661449
"MMARC-assembled","Soil","SRR1238218","beta-lactams",146018.878218613,409314.999999342,35.6739621608901
"Resfams","Soil","SRR1238218","beta-lactams",3609.50000000006,96433.0000000033,3.74301328383431
"MMARC","Soil","SRR1238219","beta-lactams",519,1924,26.975051975052
"MMARC-assembled","Soil","SRR1238219","beta-lactams",26300.1904761841,40412.9999999935,65.0785402622629
"Resfams","Soil","SRR1238219","beta-lactams",2550.00000000001,3138.00000000001,81.261950286807
"MMARC","Soil","SRR1238220","Tetracyclines",193818.166666612,194409.999999945,99.6955746446513
"MMARC-assembled","Soil","SRR1238220","Tetracyclines",1185173.81560587,1528768.99998325,77.5247153506415
"Resfams","Soil","SRR1238220","Tetracyclines",88184.745282405,536389.000002354,16.4404462585955
"MMARC","Soil","SRR1238221","Tetracyclines",194369.916666667,197567,98.3817725969755
"MMARC-assembled","Soil","SRR1238221","Tetracyclines",577931.725224895,792247.000007915,72.9484270964889
"Resfams","Soil","SRR1238221","Tetracyclines",13423.857142898,209398.000000047,6.4106902372014
"MMARC","Soil","SRR1238222","Trimethoprim",43169,43169,100
"MMARC-assembled","Soil","SRR1238222","Trimethoprim",443604.43412829,513261.000001312,86.4286267858178
"Resfams","Soil","SRR1238222","Trimethoprim",42720,56878,75.1081261647737
"MMARC","Soil","SRR1238223","Trimethoprim",139240.75,140190,99.3228832299023
"MMARC-assembled","Soil","SRR1238223","Trimethoprim",653219.769842201,718135.000000932,90.9605812056721
"Resfams","Soil","SRR1238223","Trimethoprim",34833,37902,91.9028019629571
"MMARC","Soil","SRR1238224","beta-lactams",0,33,0
"MMARC-assembled","Soil","SRR1238224","beta-lactams",547512.50001005,562445.00001005,97.345073740591
"Resfams","Soil","SRR1238224","beta-lactams",30073.9999999998,31970.9999999998,94.0664977635983
"MMARC","Soil","SRR1238225","Phenicol",0,1306,0
"MMARC-assembled","Soil","SRR1238225","Phenicol",93492.4047619113,335415.999999992,27.8735673795864
"Resfams","Soil","SRR1238225","Phenicol",2339.76150793621,138974.000000022,1.68359657773097
"MMARC","Soil","SRR1238226","beta-lactams",0,38,0
"MMARC-assembled","Soil","SRR1238226","beta-lactams",270828.00000101,403452.00000102,67.127688052191
"Resfams","Soil","SRR1238226","beta-lactams",72961.9999997686,72962.9999997686,99.9986294423201
"MMARC","Soil","SRR1238227","beta-lactams",438173.583333457,438224.000000124,99.9884952292283
"MMARC-assembled","Soil","SRR1238227","beta-lactams",1790957.07221791,2139081.99999571,83.7254987055895
"Resfams","Soil","SRR1238227","beta-lactams",251293.000000836,278157.000000836,90.3421449038065
"MMARC","Soil","SRR1238228","Glycopeptides",0,26,0
"MMARC-assembled","Soil","SRR1238228","Glycopeptides",157889.869876996,230045.999999653,68.6340427033003
"Resfams","Soil","SRR1238228","Glycopeptides",76178.4999997835,99994.9999997829,76.1823091154046
"MMARC","Soil","SRR1238229","beta-lactams",496476.000000202,496476.000000202,100
"MMARC-assembled","Soil","SRR1238229","beta-lactams",2253501.54574731,2391668.99993424,94.2229692239718
"Resfams","Soil","SRR1238229","beta-lactams",280438.000001667,328576.000001665,85.3495081808306
"MMARC","Soil","SRR1238230","Aminoglycosides",115559.95,119207,96.9405739595829
"MMARC-assembled","Soil","SRR1238230","Aminoglycosides",707304.96280453,858029.000000278,82.4336896310383
"Resfams","Soil","SRR1238230","Aminoglycosides",149037.999999834,216909.999999835,68.7096030611534
"MMARC","Soil","SRR1238231","beta-lactams",0,88,0
"MMARC-assembled","Soil","SRR1238231","beta-lactams",1126089.65554965,1269027.99999412,88.7363915969442
"Resfams","Soil","SRR1238231","beta-lactams",101808.000000366,189030.000000366,53.8581177591752
"MMARC","Soil","SRR1238232","beta-lactams",0,28,0
"MMARC-assembled","Soil","SRR1238232","beta-lactams",1436377.66667821,1441908.00001154,99.6164572681968
"Resfams","Soil","SRR1238232","beta-lactams",64174.0000000117,64277.0000000117,99.8397560558209
"MMARC","Soil","SRR1238233","beta-lactams",30396.0000000045,30396.0000000045,100
"MMARC-assembled","Soil","SRR1238233","beta-lactams",3497087.99985919,3545247.9998592,98.6415618878588
"Resfams","Soil","SRR1238233","beta-lactams",664455.000000149,664464.000000149,99.998645524814
"MMARC-assembled","Soil","SRR1238234","Tetracyclines",65224.8105726806,102153.99999992,63.8494925041913
"Resfams","Soil","SRR1238234","Tetracyclines",87448.0950743608,103373.999999999,84.5938969899214
"MMARC","Soil","SRR1238235","Tetracyclines",18074.0666666668,19259.0000000002,93.8473787147135
"MMARC-assembled","Soil","SRR1238235","Tetracyclines",26962.4252136797,66270.0000000037,40.6857178416753
"Resfams","Soil","SRR1238235","Tetracyclines",46.4357142857142,25900.000000017,0.179288472145497
"MMARC","Soil","SRR1238236","Trimethoprim",222589,222589,100
"MMARC-assembled","Soil","SRR1238236","Trimethoprim",993957.542855878,1204269.99999875,82.5361042670587
"Resfams","Soil","SRR1238236","Trimethoprim",83143,155039.000000007,53.627151877912
"MMARC","Soil","SRR1238237","Trimethoprim",68177,68177,100
"MMARC-assembled","Soil","SRR1238237","Trimethoprim",538028.928572073,605168.000000645,88.9057135492127
"Resfams","Soil","SRR1238237","Trimethoprim",19433,24089,80.6716758686538
"MMARC","Soil","SRR1238238","beta-lactams",0,956.000000000002,0
"MMARC-assembled","Soil","SRR1238238","beta-lactams",309259.235316985,429588.000001962,71.9897286040514
"Resfams","Soil","SRR1238238","beta-lactams",36324.0000000036,38025.0000000036,95.5266272189353
"MMARC","Soil","SRR1238239","Phenicol",49092.7107143118,54132.0000000261,90.6907387761179
"MMARC-assembled","Soil","SRR1238239","Phenicol",285032.326191009,588749.00000038,48.4132161907409
"Resfams","Soil","SRR1238239","Phenicol",9921.94206349341,142406.999999821,6.96731344913233
"MMARC","Soil","SRR1238240","beta-lactams",20,33,60.6060606060606
"MMARC-assembled","Soil","SRR1238240","beta-lactams",12,13866.0000000003,0.0865426222414521
"Resfams","Soil","SRR1238240","beta-lactams",0,11,0
"MMARC","Soil","SRR1238241","beta-lactams",919810,919810,100
"MMARC-assembled","Soil","SRR1238241","beta-lactams",3173501.13698298,3444095.99975423,92.1432253110669
"Resfams","Soil","SRR1238241","beta-lactams",707017.999992394,707077.999992394,99.9915143732374
"MMARC","Soil","SRR1238242","Glycopeptides",0,130,0
"MMARC-assembled","Soil","SRR1238242","Glycopeptides",285303.588492094,377405.000000026,75.5961337269178
"Resfams","Soil","SRR1238242","Glycopeptides",163070.500000218,210883.000000217,77.3274754247855
"MMARC","Soil","SRR1238243","beta-lactams",32991.6166666666,35602.9999999999,92.6652716531378
"MMARC-assembled","Soil","SRR1238243","beta-lactams",1324792.89657999,1670847.99998469,79.2886544193204
"Resfams","Soil","SRR1238243","beta-lactams",271160.500006816,413427.000007163,65.5884835780241
"MMARC","Soil","SRR1238244","Aminoglycosides",862235,862393,99.9816788865401
"MMARC-assembled","Soil","SRR1238244","Aminoglycosides",4130379.33338328,4888745.00004995,84.4875184396216
"Resfams","Soil","SRR1238244","Aminoglycosides",112795.499999751,119169.999999751,94.6509188554055
"MMARC","Soil","SRR1238245","beta-lactams",2893,2914,99.2793411118737
"MMARC-assembled","Soil","SRR1238245","beta-lactams",524189.750011946,649359.000011944,80.7241833873565
"Resfams","Soil","SRR1238245","beta-lactams",96806.0000000223,187773.000000022,51.5548028736883
"MMARC","Soil","SRR1238246","beta-lactams",0,275,0
"MMARC-assembled","Soil","SRR1238246","beta-lactams",1613254.54204046,1760757.9999616,91.6227296468706
"Resfams","Soil","SRR1238246","beta-lactams",147583.000000202,265083.000000202,55.674260514665
"MMARC","Soil","SRR1238247","Tetracyclines",281,1656,16.9685990338164
"MMARC-assembled","Soil","SRR1238247","Tetracyclines",1274406.3615843,1669122.99999024,76.3518543325897
"Resfams","Soil","SRR1238247","Tetracyclines",188712.636986444,483555.000006648,39.0260956838104
"MMARC","Soil","SRR1238248","Tetracyclines",497,52358,0.949234118950303
"MMARC-assembled","Soil","SRR1238248","Tetracyclines",6631.59404761926,218536.999999877,3.03454062589996
"Resfams","Soil","SRR1238248","Tetracyclines",355.602380952383,120725.999999784,0.294553270176282
"MMARC","Soil","SRR1238249","Trimethoprim",99319.0000000004,99319.0000000004,100
"MMARC-assembled","Soil","SRR1238249","Trimethoprim",709042.567859176,849140.000002031,83.5012563131499
"Resfams","Soil","SRR1238249","Trimethoprim",41198,50318.9999999994,81.8736461376429
"MMARC","Soil","SRR1238250","Trimethoprim",248374.499999999,248406.999999999,99.9869166327841
"MMARC-assembled","Soil","SRR1238250","Trimethoprim",1942276.99998799,1975304.99998799,98.3279544171558
"Resfams","Soil","SRR1238250","Trimethoprim",77579.5,86658,89.5237600683145
"MMARC","Soil","SRR1238251","beta-lactams",8898,8898,100
"MMARC-assembled","Soil","SRR1238251","beta-lactams",36875.0000000201,37805.0000000201,97.5400079354595
"MMARC","Soil","SRR1238252","Phenicol",59973.8095238342,65329.0000000247,91.8027361873158
"MMARC-assembled","Soil","SRR1238252","Phenicol",355175.161905665,1195917.00000178,29.6989809414145
"Resfams","Soil","SRR1238252","Phenicol",18359.9865079366,289307.000001754,6.34619504810645
"MMARC","Soil","SRR1238253","beta-lactams",741785.289286313,1159921.00000253,63.9513630052992
"MMARC-assembled","Soil","SRR1238253","beta-lactams",3041558.70494776,4231958.00017012,71.8711930700988
"Resfams","Soil","SRR1238253","beta-lactams",643183.99999374,851284.999993741,75.5544852779585
"MMARC","Soil","SRR1238254","Glycopeptides",0,760,0
"MMARC-assembled","Soil","SRR1238254","Glycopeptides",2306940.08885437,2722438.99996546,84.7379900480283
"Resfams","Soil","SRR1238254","Glycopeptides",955375.999963568,1148564.9999635,83.1799680465564
"MMARC","Soil","SRR1238255","beta-lactams",41417.0000000059,41417.0000000059,100
"MMARC-assembled","Soil","SRR1238255","beta-lactams",496381.706317253,522340.000002447,95.0303837184454
"Resfams","Soil","SRR1238255","beta-lactams",35725.9999999915,53548.9999999919,66.7164652934638
"MMARC","Soil","SRR1238256","Aminoglycosides",0,3725,0
"MMARC-assembled","Soil","SRR1238256","Aminoglycosides",199613.963486779,366920.999999636,54.4024363519604
"Resfams","Soil","SRR1238256","Aminoglycosides",8433.99999999916,14972.9999999991,56.3280571695695
"MMARC","Soil","SRR1238257","beta-lactams",88372.9999999963,88372.9999999963,100
"MMARC-assembled","Soil","SRR1238257","beta-lactams",484438.08333799,494449.000004657,97.9753388789193
"Resfams","Soil","SRR1238257","beta-lactams",60767.9999999773,62035.9999999773,97.9560255335604
"MMARC","Soil","SRR1238258","beta-lactams",692870.733333173,693564.99999984,99.8998988318807
"MMARC-assembled","Soil","SRR1238258","beta-lactams",2382551.19920693,2483698.99994787,95.9275338620715
"Resfams","Soil","SRR1238258","beta-lactams",359095.999999641,430894.99999964,83.3372399308278
"MMARC","Soil","SRR1238259","beta-lactams",49114,49977,98.2732056746103
"MMARC-assembled","Soil","SRR1238259","beta-lactams",526040.665161626,707096.00000326,74.3945185885934
"Resfams","Soil","SRR1238259","beta-lactams",9360.99999999798,23809.999999999,39.3154136917194
"MMARC","Soil","SRR1238260","Tetracyclines",1258260.52142977,1258852.0000012,99.9530144471766
"MMARC-assembled","Soil","SRR1238260","Tetracyclines",3126656.49388371,3654192.00002545,85.5635525955379
"Resfams","Soil","SRR1238260","Tetracyclines",272246.271988184,635922.000004969,42.8112680464046
"MMARC","Soil","SRR1238261","Tetracyclines",622711.67857138,740599.999999963,84.0820521970579
"MMARC-assembled","Soil","SRR1238261","Tetracyclines",1137249.02909349,2400315.99999568,47.3791379591492
"Resfams","Soil","SRR1238261","Tetracyclines",115748.261904808,875038.000000222,13.2277983247332
"MMARC","Soil","SRR1238262","Trimethoprim",152868.000000006,152868.000000006,100
"MMARC-assembled","Soil","SRR1238262","Trimethoprim",783826.897224131,898620.000001917,87.2256234250806
"Resfams","Soil","SRR1238262","Trimethoprim",46066,69157.0000000107,66.6107552380712
"MMARC","Soil","SRR1238263","Trimethoprim",77162,77162,100
"MMARC-assembled","Soil","SRR1238263","Trimethoprim",434837.94127113,487865.000001288,89.1307925901594
"Resfams","Soil","SRR1238263","Trimethoprim",12475,13342,93.5017238794783
"MMARC","Soil","SRR1238264","Phenicol",0,5211.99999999999,0
"MMARC-assembled","Soil","SRR1238264","Phenicol",608193.137302518,1423970.00000125,42.7110920385951
"Resfams","Soil","SRR1238264","Phenicol",37797.9523809529,568083.99999942,6.65358510026536
"MMARC-assembled","Soil","SRR1238265","beta-lactams",27790.2380952432,51618.0000000053,53.8382697803874
"Resfams","Soil","SRR1238265","beta-lactams",973,8159.99999999914,11.9240196078444
"MMARC","Soil","SRR1238266","beta-lactams",1034314.5,1042369,99.2272889926696
"MMARC-assembled","Soil","SRR1238266","beta-lactams",3616417.49481228,3904262.99955982,92.6274048449096
"Resfams","Soil","SRR1238266","beta-lactams",1206902.0000019,1210008.0000019,99.743307482265
"MMARC","Soil","SRR1238267","Glycopeptides",0,56,0
"MMARC-assembled","Soil","SRR1238267","Glycopeptides",620534.049789573,809304.000003184,76.6750256747936
"Resfams","Soil","SRR1238267","Glycopeptides",323818.000002476,515130.000002482,62.8614136239233
"MMARC","Soil","SRR1238268","beta-lactams",167515.750001714,167562.000001714,99.9723982764591
"MMARC-assembled","Soil","SRR1238268","beta-lactams",1327057.3402031,1372029.99997943,96.7221810181261
"Resfams","Soil","SRR1238268","beta-lactams",371024.00000014,377317.00000014,98.3321716222705
"MMARC","Soil","SRR1238269","Aminoglycosides",0,33,0
"MMARC-assembled","Soil","SRR1238269","Aminoglycosides",4497390.00000957,4497390.00000957,100
"Resfams","Soil","SRR1238269","Aminoglycosides",373326.333331736,3034215.9999924,12.3038812442051
"MMARC-assembled","Soil","SRR1238270","beta-lactams",240.772727272726,243526.000000012,0.0988694132341985
"Resfams","Soil","SRR1238270","beta-lactams",26,26,100
"MMARC","Soil","SRR1238271","beta-lactams",37472.9999999993,45541.9999999993,82.2822888762021
"MMARC-assembled","Soil","SRR1238271","beta-lactams",6672063.933502,8295286.99930442,80.4319842587902
"Resfams","Soil","SRR1238271","beta-lactams",1749063.99975907,1771744.99975907,98.7198496395878
"MMARC","Soil","SRR1238272","Tetracyclines",2761227.36899689,2769878.99994927,99.687653108582
"MMARC-assembled","Soil","SRR1238272","Tetracyclines",5796222.44614702,6194337.99984931,93.5729120091288
"Resfams","Soil","SRR1238272","Tetracyclines",552107.202686356,1603607.99997205,34.4290626322629
"MMARC","Soil","SRR1238273","Tetracyclines",40171.046825396,82999.0000000005,48.3994347225819
"MMARC-assembled","Soil","SRR1238273","Tetracyclines",74526.5513712386,375394.999999925,19.8528353790683
"Resfams","Soil","SRR1238273","Tetracyclines",7760.23355533454,141424.999999862,5.48717239196895
"MMARC","Soil","SRR1238274","Trimethoprim",14309,14309,100
